,video_id,video_title,video_date,view_count,like_count,comment_count
51,OAbP-V6fEVc,I Broke Into A House,2020-06-25 20:00:00+00:00,85169755,2477840,187711
52,_qAJMXfL6o0,"Would You Rather Have $100,000 OR This Mystery Key?",2020-06-13 20:00:01+00:00,137279604,3033393,119242
53,59AYXzCa-Cs,I Built The World&#39;s Largest Lego Tower,2020-06-06 20:00:01+00:00,91133845,2384355,74205
54,r7zJ8srwwjk,I Spent 50 Hours In Solitary Confinement,2020-05-30 20:10:08+00:00,182979907,3425724,110238
55,YSoJPA8-oHc,If You Click This Video I&#39;ll Give My Friend .001$,2020-05-23 21:01:02+00:00,132124875,5276501,156258
56,5Hg_QSIJm8I,"I Gave $200,000 To People Who Lost Their Jobs (Corona Virus)",2020-05-07 19:59:59+00:00,36801027,1325300,67326
57,gsWPpE4Rid0,Videos I Could Not Upload...,2020-04-30 20:00:08+00:00,73882197,2422614,61924
58,Ih2WTyY62J4,"$250,000 Influencer Rock, Paper, Scissors Tournament",2020-04-26 01:36:25+00:00,44099118,1591897,56672
59,HBMmK1c44sE,I Spent 24 Hours In A Doomsday Bunker,2020-04-11 20:00:00+00:00,115860521,2246826,79145
60,oBYbxw8f5OI,"Giving $1,000,000 Of Food To People In Need",2020-03-27 20:00:05+00:00,29836771,1378523,66952
61,AiGKBNGlzHo,I Ran A Marathon In The World&#39;s Largest Shoes,2020-03-21 20:00:02+00:00,73593818,2111554,61760
62,_mdKvblL_8s,"$70,000 Extreme Hide And Seek - Challenge",2020-03-13 20:00:04+00:00,81064574,1910093,67863
63,yXWw0_UfSFg,Anything You Can Fit In The Circle I’ll Pay For,2020-03-07 21:00:00+00:00,165569349,3934573,110251
64,F4Y3Pkn95GI,"I Ate A $70,000 Golden Pizza",2020-02-29 21:00:22+00:00,148947278,3120751,107526
65,i6OUv48w1bk,"Surprising My Girlfriend With 100,000 Roses For Valentines Day",2020-02-14 21:00:04+00:00,72380111,2386120,93669
66,KSKJKLmAqpI,"Lamborghini Race, Winner Keeps Lamborghini",2020-02-08 21:00:02+00:00,82559790,1975582,55431
67,IYVjOfoU3uI,I Gave My Credit Card To Random People,2020-02-01 21:00:01+00:00,114552799,3019407,96176
68,oI6aXhowFDY,I Went Back To Boy Scouts For A Day,2020-01-25 21:00:01+00:00,74615470,1564708,45099
69,LdMx2U5tby0,"$60,000 Extreme Hide And Seek - Challenge",2020-01-17 21:00:01+00:00,87800029,1930555,48842
70,Z9WQy9jEY8M,"Giving 10,000 Presents To Kids For Christmas",2019-12-23 21:00:04+00:00,51342828,2658326,175695
71,bs0SWXbty18,"Spending $1,000,000 In 24 Hours",2019-12-21 21:00:01+00:00,113170058,3235268,122644
72,yeqARWqjkps,"Last To Take Hand Off $1,000,000 Keeps It",2019-12-19 21:00:12+00:00,91347033,2725286,300691
73,wMuYiLby3-s,"Last To Stop Riding Bike Wins $1,000,000 (Part 4)",2019-12-14 20:59:57+00:00,41065105,1058911,94211
74,NbaWrbJDr48,"Last To Leave Toilet Wins $1,000,000 (Part 3)",2019-12-07 21:11:07+00:00,54380729,1279490,48048
75,sfv1QaRzJg8,I Ordered Pizza And Tipped The House,2019-12-05 21:00:02+00:00,92978362,3287777,103535
76,RwnN2FVaHmw,"Last to Stop Swinging Wins $1,000,000 (Part 2)",2019-11-30 21:00:03+00:00,66197098,1467169,80783
77,X1jMMFOqxEw,"$50,000 Game Of Extreme Hide And Seek - Challenge",2019-11-28 21:00:01+00:00,99516015,2261897,50244
78,ORUX1lHbOa8,I Opened A FREE BANK,2019-11-23 21:00:17+00:00,71246583,1997074,91265
79,LU_xVr4b2qM,"Going Around A Ferris Wheel 1,000 Times Straight",2019-11-16 21:00:47+00:00,59807711,1530258,46743
80,tQ4m4zD7BBA,"Last To Fall Wins $1,000,000 (Part 1)",2019-11-14 21:00:31+00:00,91237781,2127146,53340
81,D9lVNzyhYnc,Surviving 24 Hours Straight In The Bermuda Triangle,2019-11-09 21:00:55+00:00,122595394,2572754,92305
82,jokVbbLqV_E,"I Spent $100,000 On Lottery Tickets And Won!",2019-10-31 20:00:02+00:00,43710224,1179691,30968
83,HPJKxAhLw5I,"Planting 20,000,000 Trees, My Biggest Project Ever!",2019-10-25 19:01:01+00:00,69271138,3747609,166077
